Item number,Normal description,Vintage,Item notes,Size description,Long description,Units per case,Unit retail,Pack retail,Units per pack,(Warm) Case retail,Quantity on hand,Most recent upc code,Department name,Group name,Sub-departmentname,Primary vendor,Proof,Tax flag,Unit sale retail,Case sale retail,Date sale starts,Date sale ends,Tasting/other notes,Country of origin,Region,Sub region #1,Sub region #2,Grape,Color,Classification,Wine Maker,Winery,Special rating,Parker rating,Other Rating,Featured Item? Y/N ,Web Address of product,Invoice Cost per Bottle,Sale Type Code (standard) ,Pack Sale Price,Full Case Discount ,Mixed Case Discount,Web selling Threshold(Max),Web Groupings,Web unit Price,Web Pack price,Web Case Price,Web Unit Sale,Web Pack Sale,Web Case Sale,Web Sale Type,Web Sale Starting Date,Web Sale Ending Date,Number units on openPO’s,Points,Web Code,Available to Sell,Continent,Vineyard,Item Flags,On C/O,Full Bar Code (Prefix,Data,Suffix),Date Item Inserted,URL of Item Image,Location,Wine Condition,Gross Weight of product (forshipping),Tax Rate,Imported Item Number(conversions),Reserved 71,Reserved 72,Reserved 73,Reserved 74,Reserved 75,Reserved 76,Reserved 77,Reserved 78,Reserved 79,Reserved 80,Reserved 81
00047,CH PESQUIE LES TERRASSES ROUGE,,,750ML,10181,12,15.99,0.00,1,0.00,19,0510916215,OLD WORLD WINE,WINE,FRENCH WINE,0000015,0.00,Y,13.99,,2019-03-08,2020-05-31,,FRANCE,RHONE VALLEY,,,MISC REDS,RED,,,,,,2.95,N,,9.9942,A,0.00,10,10,,,,,,,,,,,,0,,,19,,,ALOSVDIKbW,0,805109162150,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00056,ROMEO Y JULIETA EXHIBICION #3,,,SINGL,10199,25,8.99,0.00,1,199.99,1,7645235117,TOBACCO,TOBACCO,CIGARS,00000134,0.00,Y,,,,,,DOMINICAN REPUBLIC,,MEDIUM,INDONESIAN,,,,,,,,,N,,6.4900,,0.00,,,,,,,712.80,,,,,,,0,,,1,,,ALOSVIKbW,0,076452351175,2010-10-26,,,,,5.0000,,,,,,,,,,,,
00057,ROMEO Y JULIETA BULLY,,,SINGL,10200,25,9.99,0.00,1,0.00,71,7645235118,TOBACCO,TOBACCO,CIGARS,00000134,0.00,Y,,,,,,DOMINICAN REPUBLIC,,MEDIUM,INDONESIAN,,,,,,,,,N,,6.5900,,0.00,,,,,,,561.49,,,,,,,0,,,71,,,ALOSVIKbW,0,076452351182,2010-10-26,,,,,5.0000,,,,,,,,,,,,
00058,ROMEO Y JULIETA BELICOSO,,,SINGL,10201,25,11.99,0.00,1,239.99,58,7645235121,TOBACCO,TOBACCO,CIGARS,00000134,0.00,Y,,,,,,DOMINICAN REPUBLIC,,MEDIUM,INDONESIAN,,,,,,,,,N,,8.6716,,0.00,,,,,,,,,,,,,,0,,,58,,,ALOSVIKbW,0,076452351212,2010-10-26,,,,,5.0000,,,,,,,,,,,,
00059,ROMEO Y JULIETA CEDERO DELUXE #2,,,SINGL,10203,25,9.99,0.00,1,189.99,27,7645235120,TOBACCO,TOBACCO,CIGARS,00000134,0.00,Y,,,,,,DOMINICAN REPUBLIC,,MEDIUM,INDONESIAN,,,,,,,,,N,,6.0628,,0.00,,,,,,,140.29,,,,,,,0,,,27,,,ALOSVIKbW,0,076452351205,2010-10-26,,,,,5.0000,,,,,,,,,,,,
00060,ROMEO Y JULIETA CHURCHILL,,,SINGL,10204,25,7.99,0.00,1,179.99,0,7645235115,TOBACCO,TOBACCO,CIGARS,00000134,0.00,Y,,,,,,DOMINICAN REPUBLIC,,MEDIUM,INDONESIAN,,,,,,,,,N,,4.4552,,0.00,,,,,,,,,,,,,,0,,,0,,,ALOSVIKbW,0,076452351151,2010-10-26,,,,,5.0000,,,,,,,,,,,,
00066,CALERA CENTRAL COAST PINOT NOIR,,,750ML,10221,12,27.99,0.00,1,0.00,32,4506796064,NEW WORLD WINE,WINE,PINOT NOIR,0000023,0.00,Y,24.99,,2019-03-08,2020-05-31,,UNITED STATES,MONTEREY COUNTY/CENTRAL COAST,,,PINOT NOIR,RED,F02,,,,,2.75,N,,19.0042,A,0.00,10,10,,,,,,,,,,,,0,,,32,,,ALOSVDIKbW,0,745067960644,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00076,GALLO VERMOUTH SWEET,,,750ML,103,12,5.99,0.00,1,0.00,25,856900,LIQUOR,LIQUOR,VERMOUTH,0000039,0.00,Y,,,,,,UNITED STATES,CALIFORNIA,,,,,SWEET VERMOUTH,,,,,3,N,,4.4442,,0.00,,,,,22.99,,,,,,,,,-12,,,13,,,ALOSVIKbW,0,08569000,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00077,SKOL VODKA,,,375ML,1031,24,3.49,0.00,1,0.00,17,8567610137,LIQUOR,LIQUOR,VODKA,0000038,0.00,Y,,,,,,UNITED STATES,KENTUCKY,,,,,STRAIGHT VODKA,,,,,0.90,N,,2.6358,,0.00,,,,,,,,,,,,,,24,,,41,,,ALOSVIKbW,0,085676101374,2010-10-26,http://www.dealhack.com/archives/img/2008/0522/fortresssauvignon_blanc2005.jpg,,,0,5.0000,,,,,,,,,,,,
00077,SKOL VODKA,,,375ML,1031,24,3.49,0.00,1,0.00,17,8567610137,LIQUOR,LIQUOR,VODKA,0000038,0.00,Y,,,,,,UNITED STATES,KENTUCKY,,,,,STRAIGHT VODKA,,,,,0.90,N,,2.6358,,0.00,,,,,,,,,,,,,,24,,,41,,,ALOSVIKbW,0,085676101374,2010-10-26,http://www.dealhack.com/archives/img/2008/0522/fortresssauvignon_blanc2005.jpg,,,0,5.0000,,,,,,,,,,,,
00077,SKOL VODKA,,,375ML,1031,24,3.49,0.00,1,0.00,17,8567610137,LIQUOR,LIQUOR,VODKA,0000038,0.00,Y,,,,,,UNITED STATES,KENTUCKY,,,,,STRAIGHT VODKA,,,,,0.90,N,,2.6358,,0.00,,,,,,,,,,,,,,24,,,41,,,ALOSVIKbW,0,085676101374,2010-10-26,http://www.dealhack.com/archives/img/2008/0522/fortresssauvignon_blanc2005.jpg,,,0,5.0000,,,,,,,,,,,,
00077,SKOL VODKA,,,375ML,1031,24,3.49,0.00,1,0.00,17,8567610137,LIQUOR,LIQUOR,VODKA,0000038,0.00,Y,,,,,,UNITED STATES,KENTUCKY,,,,,STRAIGHT VODKA,,,,,0.90,N,,2.6358,,0.00,,,,,,,,,,,,,,24,,,41,,,ALOSVIKbW,0,085676101374,2010-10-26,http://www.dealhack.com/archives/img/2008/0522/fortresssauvignon_blanc2005.jpg,,,0,5.0000,,,,,,,,,,,,
00078,MCCORMICK VODKA,,,200ML,1032,48,2.09,0.00,1,0.00,35,8559210457,LIQUOR,LIQUOR,VODKA,0000060,0.00,Y,,,,,,UNITED STATES,MISSOURI,,,,,STRAIGHT VODKA,,,,,0.50,N,,1.6021,,0.00,,,,,,,,,,,,,,0,,,35,,,ALOSVIKbW,0,085592104572,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
00079,VINCENT VAN GOGH VODKA,,,750ML,10321,6,23.99,0.00,1,0.00,6,3382415121,LIQUOR,LIQUOR,VODKA,0000038,0.00,Y,,,,,,HOLLAND,,,,,,STRAIGHT VODKA,,,,,3.00,N,,17.9917,,0.00,,,,,,,,,,,,,,0,,,6,,,ALOISVbW,0,633824151216,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
00083,MCCORMICK VODKA,,,375ML,1033,24,3.69,0.00,1,0.00,24,8559210456,LIQUOR,LIQUOR,VODKA,0000060,0.00,Y,,,,,,UNITED STATES,MISSOURI,,,,,STRAIGHT VODKA,,,,,0.90,N,,2.7854,,0.00,,,,,,,97.09,,,,,,,0,,,24,,,ALOISVbW,0,085592104565,2010-10-26,,,,0,5.0000,,,,,,,,,,,,
00084,HOGUE LATE HARVEST RIESLING,,,750ML,10331,12,9.99,0.00,1,0.00,13,8775400015,NEW WORLD WINE,WINE,RIESLING,0000056,0.00,Y,8.99,,2019-03-08,2020-05-31,,UNITED STATES,WASHINGTON,COLUMBIA VALLEY,,RIESLING,WHITE,,,,RP90,,3.00,N,,6.7842,A,0.00,10,10,,,,,,,,,,,,0,,,13,,,ALOSVDIKbW,0,087754000159,2010-10-26,,0.1,,1,5.0000,,,,,,,,,,,,
00085,GREY GOOSE VODKA L ORANGE,,,750ML,10333,6,29.99,0.00,1,0.00,7,8048028103,LIQUOR,LIQUOR,VODKA,00162,0.00,Y,24.99,,2019-03-08,2020-05-31,,FRANCE,,,,,,FLAVORED VODKA,,,,,3.35,N,,20.9900,L,0.00,,,,,10.99,,,,,,,,,0,,,7,,,ALOSVIKbW,0,080480281038,2010-10-26,,,,1,5.0000,,,,,,,,,,,,
